:mode=ask
:IOAccess;Application;Topic;AdviseActive;DDEProtocol
"plc9";"finsgtwy";"plc9";Yes;No
"plc8";"finsgtwy";"plc8";Yes;No
"plc1";"finsgtwy";"plc1";Yes;No
"plc6";"finsgtwy";"plc6";Yes;No
"plc5";"finsgtwy";"plc5";Yes;No
"plc4";"finsgtwy";"plc4";Yes;No
"plc3";"finsgtwy";"plc3";Yes;No
"plc2";"finsgtwy";"plc2";Yes;No
"MODBUS_STATUS";"VIEW";"IOSTATUS";Yes;No
"INT";"modbus";"INT";Yes;Yes
"plc7";"finsgtwy";"plc7";Yes;No
"INTOUCH";"finsgtwy";"INTOUCH";Yes;No
:MemoryDisc;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;InitialDisc;OffMsg;OnMsg;AlarmState;AlarmPri;AlarmComment;AlarmAckModel;DSCAlarmDisable;DSCAlarmInhibitor
"S191\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"S191\TErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Сг 191: Нет сигнала с датчика момента";0;0;""
"S191\LiftPosErr";"$System";"";No;No;0;No;Off;"";"";On;1;"Сг 191: Нет сигнала с датчика высоты";0;0;""
"RWIsShown";"$System";"Показано ли окно готовности";No;No;0;No;Off;"";"";None;1;"";0;0;""
"N163Err\Wrn1";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Н163: Нажата кнопка экстренного останова";0;0;""
"N163Err\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Н 163: Отключена защитная автоматика";0;0;""
"N163Err\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Н 163: Нажата кнопка СТОП на лок. пульте";0;0;""
"N163Err\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Н 163: Идет задержка перед перезапуском";0;0;""
"N163Err\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Н 163: Нештатная ситуация";0;0;""
"N163Err\Err19";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Н 163: Действует внешняя блокировка";0;0;""
"N163Err\Wrn10";"$System";"Сработали блокировки на обор. под нагрузкой";No;No;0;No;Off;"";"";On;200;"Н 163: сработали блокировки на обор. под нагрузкой";0;0;""
"N163Err\Wrn100";"$System";"Допуртимое превышение момента";No;No;0;No;Off;"";"";On;251;"????допустимое превышение момента???????";0;0;""
"N163Err\Wrn1000";"$System";"Не появилось давл. масла при вкл. насоса";No;No;0;No;Off;"";"";On;251;"";0;0;""
"NP179Err\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Н 179: Отключена защитная автоматика";0;0;""
"NP179Err\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Н 179: Нажата кнопка СТОП на лок. пульте";0;0;""
"NP179Err\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Н 179: Идет задержка перед перезапуском";0;0;""
"NP179Err\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Н 179: Нештатная ситуация";0;0;""
"NP179Err\Err19";"$System";"Сигнал превышения температуры";No;No;0;No;Off;"";"";On;1;"Н 179: Сигнал превышения температуры";0;0;""
"NP179Err\Wrn10";"$System";"Сработали блокировки на обор. под нагрузкой";No;No;0;No;Off;"";"";On;251;"Н 179: сработали блокировки на обор. под нагрузкой";0;0;""
"NP179Err\Wrn1";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Н 179: Нажата кнопка экстренного останова";0;0;""
"NP179Err\Wrn100";"$System";"Допустимое превышение момента";No;No;0;No;Off;"";"";On;251;"Допустимое превышение момента";0;0;""
"NP179Err\Wrn1000";"$System";"Не появилось давл. масла при вкл. насоса";No;No;0;No;Off;"";"";On;251;"";0;0;""
"NP179Err\Err20";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Н 179: Действует внешняя блокировка";0;0;""
"S191Err\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Сг 191: Отключена защитная автоматика";0;0;""
"S191Err\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Сг 191: Нажата кнопка СТОП на лок. пульте";1;0;""
"S191Err\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Сг 191: Идет задержка перед перезапуском";0;0;""
"S191Err\Err18";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Сг 191: Действует внешняя блокировка";0;0;""
"S191Err\Err19";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Сг 191: Нажата кнопка экстренного останова";0;0;""
"S191Err\Wrn10";"$System";"Сработали блокировки на обор. под нагрузкой";No;No;0;No;Off;"";"";On;251;"Сг 191: сработали блокировки на обор. под нагрузкой";0;0;""
"S191Err\Wrn1";"$System";"Работа эл. двигателя с превышением тока";No;No;0;No;Off;"";"";On;251;"Сг 191: работа эл. двигателя с превышением тока";0;0;""
"S191Err\Wrn100";"$System";"Допустимое превышение момента";No;No;0;No;Off;"";"";On;251;"Допустимое превышение момента";0;0;""
"S191Err\Wrn1000";"$System";"Не появилось давл. масла при вкл. насоса";No;No;0;No;Off;"";"";On;1;"";0;0;""
"SETOAlarms\Alm2";"$System";"";No;No;0;Yes;Off;"";"";On;200;"СЕТО: Авария 2 БП аналогвых сигналов";0;0;""
"SETOAlarms\Alm1";"$System";"";No;No;0;Yes;Off;"";"";On;200;"СЕТО: Авария 1 БП аналоговых сигналов";0;0;""
"NP179\IErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Н 179: Нет сигнала с датчика тока";0;0;""
"NP179\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"N163\IErr";"$System";"";No;No;0;No;Off;"";"";On;100;"Н 163: Нет сигнала с датчика тока";0;0;""
"N163\HIsShown";"$System";"";No;No;0;No;On;"";"";None;1;"";0;0;""
"Sp176\HIsShown";"$System";"";No;No;0;No;Off;"";"";None;1;"";0;0;""
"S191Err\Err15";"$System";"Сигнал превышения момента";No;No;0;No;Off;"";"";On;1;"Сг 191: Сигнал превышения момента";0;0;""
"C173AErr\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Цн 173(Мн): Отключена защитная автоматика";0;0;""
"C173AErr\Err2";"$System";"Нажата кнопка СТОП на лок. пульте";No;No;0;No;Off;"";"";On;1;"Цн 173(Мн): Нажата кнопка СТОП на лок. пульте";0;0;""
"C173AErr\Err3";"$System";"Идет задержка перед перезапуском";No;No;0;No;Off;"";"";On;1;"Цн 173(Мн): Идет задержка перед перезапуском";0;0;""
"C173AErr\Err18";"$System";"Нештатная ситуация";No;No;0;No;Off;"";"";On;1;"Цн 173(Мн): Нештатная ситуация";0;0;""
"C173AErr\Err19";"$System";"Действует внешняя блокировка";No;No;0;No;Off;"";"";On;1;"Цн 173(Мн): Действует внешняя блокировка";0;0;""
"C173AErr\Wrn10";"$System";"сработали блокировки на обор. под нагрузкой";No;No;0;No;Off;"";"";On;251;"";0;0;""
"C173AErr\Wrn1";"$System";"работа эл. двигателя с превышением тока";No;No;0;No;Off;"";"";On;251;"";0;0;""
"C173AErr\Wrn100";"$System";"допустимое превышение момента";No;No;0;No;Off;"";"";On;251;"";0;0;""
"C173AErr\Wrn1000";"$System";"не появилось давл. масла при вкл. насос";No;No;0;No;Off;"";"";On;200;"Цн 173(Мн): Маслонасос не создает давления";0;0;""
"C173AErr\Err4";"$System";"Нажата кнопка экстренного останова";No;No;0;No;Off;"";"";On;1;"Цн 173(Мн): Нажата кнопка экстренного останова";0;0;""
"C173AErr\Err7";"$System";"перегрузка";No;No;0;No;Off;"";"";On;1;"";0;0;""
"C173AErr\Err8";"$System";"недостаточное давление масла";No;No;0;No;Off;"";"";On;1;"";0;0;""
"C173BErr\Err1";"$System";"Отключена защитная автоматика";No;No;0;No;Off;"";"";On;1;"Цн 173(ГП): Отключена защитная автоматика";0;0;""
